id	data_format	access	file_name	submitter_id	data_category	acl_1	type	platform	file_size	created_datetime	md5sum	updated_datetime	file_id	data_type	state	experimental_strategy
ce47d868-41c5-4a44-8e69-1ee33591f4c5	TSV	controlled	281cbaed-e56b-4d19-acc2-d532c700f6c0.rna_seq.star_splice_junctions.tsv.gz	e765fd18-e01b-4617-894c-4b20f8326c1e	Transcriptome Profiling	phs001134	gene_expression	Illumina	3967853	2021-12-22T17:10:16.595214-06:00	b6abdd2bab4bf043b083dc80b6ae958c	2024-07-30T19:34:27.944521-05:00	ce47d868-41c5-4a44-8e69-1ee33591f4c5	Splice Junction Quantification	released	RNA-Seq
9331312a-7547-43a3-9e61-a65317e47c86	TSV	open	9a1f4233-7a90-4d0b-9f4c-47ba4a7c3ba5.rna_seq.augmented_star_gene_counts.tsv	fed35cdc-8ff3-494f-bd4b-7d0c7fb37af3	Transcriptome Profiling	open	gene_expression	Illumina	4251040	2021-12-22T16:47:47.858193-06:00	dfc2bdb936c97eee03014ea8111df416	2024-07-30T20:07:16.201792-05:00	9331312a-7547-43a3-9e61-a65317e47c86	Gene Expression Quantification	released	RNA-Seq
ea725c65-d6fd-4b82-95a2-4417bcf30155	TSV	controlled	f67ca7e4-2bdc-4b3e-a8ef-46f6fcb2a1e3.rna_seq.star_splice_junctions.tsv.gz	a5a22f46-eff0-4f96-b26d-104a9533f570	Transcriptome Profiling	phs001134	gene_expression	Illumina	3950113	2021-12-22T16:46:26.959714-06:00	534de3609da28edba766877ff3e8b254	2024-07-30T19:38:05.990701-05:00	ea725c65-d6fd-4b82-95a2-4417bcf30155	Splice Junction Quantification	released	RNA-Seq
3fbfe8aa-c2d5-4897-92ac-bee55cc57985	TSV	open	281cbaed-e56b-4d19-acc2-d532c700f6c0.rna_seq.augmented_star_gene_counts.tsv	4cdbf7ee-52e1-4fbb-9e23-224e0f70240a	Transcriptome Profiling	open	gene_expression	Illumina	4240807	2021-12-22T17:10:17.941960-06:00	8eb049d5d6b0ca2ba4c8846b28790dd5	2024-07-30T20:08:22.150839-05:00	3fbfe8aa-c2d5-4897-92ac-bee55cc57985	Gene Expression Quantification	released	RNA-Seq
28d1a3bf-3d1f-4fe4-9a45-02259863f097	TSV	open	f67ca7e4-2bdc-4b3e-a8ef-46f6fcb2a1e3.rna_seq.augmented_star_gene_counts.tsv	8fc7c7e9-f40d-40fa-84d9-50077caf3d42	Transcriptome Profiling	open	gene_expression	Illumina	4238651	2021-12-22T16:46:28.340171-06:00	6964069be33c27dee592f4f29461980d	2024-07-30T20:21:10.177265-05:00	28d1a3bf-3d1f-4fe4-9a45-02259863f097	Gene Expression Quantification	released	RNA-Seq
8514b975-0183-4c66-a492-2f89e880525a	TSV	controlled	dfb137f7-292d-4ae9-ab41-3ebb3c80c7e1.rna_seq.star_splice_junctions.tsv.gz	8044abdc-4a41-4903-90c6-33e67fb76d1a	Transcriptome Profiling	phs001134	gene_expression	Illumina	4174071	2021-12-22T17:00:03.083757-06:00	dc1e5bb10a338b799ab87fa1db0e3cc4	2024-07-30T19:36:25.833083-05:00	8514b975-0183-4c66-a492-2f89e880525a	Splice Junction Quantification	released	RNA-Seq
ea731e73-d05e-4cdf-ab1d-e3ef53dde972	TSV	controlled	a403a531-8226-45e3-a29f-fc42f1cb4ddf.rna_seq.star_splice_junctions.tsv.gz	c0bb637d-3493-4455-a04b-b2a34fa5503f	Transcriptome Profiling	phs001134	gene_expression	Illumina	4818583	2021-12-22T16:55:44.939828-06:00	dadf6daca7467176ed478bac7be0c468	2024-07-30T19:40:18.536686-05:00	ea731e73-d05e-4cdf-ab1d-e3ef53dde972	Splice Junction Quantification	released	RNA-Seq
2f025347-d314-49cb-b382-f6af1401e0e8	TSV	controlled	8dc7997d-fee8-4b8c-b7fc-64185fd6b6a3.rna_seq.star_splice_junctions.tsv.gz	097003df-4cf9-4b6a-8864-461142a9a6e1	Transcriptome Profiling	phs001134	gene_expression	Illumina	4230378	2021-12-22T17:02:37.500058-06:00	cbbd9f12da925f1f9470e83a6dcbfd21	2024-07-30T19:33:07.827945-05:00	2f025347-d314-49cb-b382-f6af1401e0e8	Splice Junction Quantification	released	RNA-Seq
4d967d7d-72d1-40ab-83a6-9a0b726bec1c	TSV	controlled	e595b2d2-1b08-47d7-b5f7-29d394fa7ad7.rna_seq.star_splice_junctions.tsv.gz	97f08b1e-335d-494b-8ad7-4cd0da694a5b	Transcriptome Profiling	phs001134	gene_expression	Illumina	4411394	2021-12-22T16:42:18.193047-06:00	715f616349fc31045b892fa98547e7b2	2024-07-30T19:38:10.761987-05:00	4d967d7d-72d1-40ab-83a6-9a0b726bec1c	Splice Junction Quantification	released	RNA-Seq
3a91325b-73a9-4677-ad69-920113710651	TSV	open	00c9faa1-d0c9-4f00-8d37-a3fb23f6e24e.rna_seq.augmented_star_gene_counts.tsv	7704bacc-030e-4f7e-b263-2eb17aab09b6	Transcriptome Profiling	open	gene_expression	Illumina	4259993	2021-12-22T16:43:31.784782-06:00	e01cfefdd573cb6b320124e604eb1d61	2024-07-30T20:15:23.498236-05:00	3a91325b-73a9-4677-ad69-920113710651	Gene Expression Quantification	released	RNA-Seq
